Address,Price,livingArea,bedrooms,bathroom
['5810 Northfield Dr'],['1380'],"['1274', '1274', '\\""1', '1243', '1101', '1800', '1212', '1242', '1258', '1244', '1243', '1408', '1415', '1440']","['3', '3', '3', '3', '3', '2', '3', '2', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', '2']"
['8000 Highway 85'],['899'],"['877', '877', '\\""877 sqft\\""', '1344', '1190', 'null', 'null', '1248', '1056', '2128', 'null']","['2', '2', '2', '3', '3', '3', '3', '3', '3', '3', '2']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1']"
['Interlaken Pass'],['1300'],"['2367', '2367', '\\""2', '1526', '1226', '1937', '1344', '1308', '1348', '1108', '1036', 'null', '2594', '996', '1176', '3500', '1074']","['3', '3', '3', '3', '5', '3', '3', '3', '3', '3', '4', '0', '5', '3', '3', '5', '4']","['2', '2', '2', '2', '3', '2', '2.5', '2', '2.5', '2.5', '3', 'null', '2', '2.5', '3.5', '2.5', '3']"
['4974 Summersun Dr'],['1625'],"['1935', '1935', '\\""1', '1588', '1354', '1690', '1354', '1690', '1690', 'null', '1680', '1057']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4']","['2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', '2.5']"
['7536 Old South Ln'],['1550'],"['3200', '3200', '\\""3', '2192', '1270', '2059', '1488', '900', '1458', '1260', '1306', '714']","['3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '3', '2.5', '2', '2.5', '2', '1', '2', '3']"
['1661 Highway 138 E'],['1050'],"['1335', '1335', '\\""1', '1572', '1258', '1853', '2366', '1630', 'null', '1630', '1700', '1538']","['3', '3', '3', '3', '3', '3', '3', '3', '0', '3', '3', '4']","['2', '2', '2', '2', '2', '2.5', '3', '2', 'null', '2', '2', '2']"
['919 Slash Pine Rd'],['1300'],"['979', '979', '\\""979 sqft\\""', '1050', '1144', '979', '979', '1697', '1375', '975', '1275', '1379', '1444']","['4', '4', '4', '3', '3', '4', '3', '6', '3', '3', '3', '3', '4']","['2', '2', '2', '1.5', '2', '2', '2', '2.5', '2', '1', '2', '2', '1.5']"
['Pond Ridge Dr'],['1200'],"['1800', '1800', '\\""1', '1800', '1336', '828', '1738', '1147', '1738', '1354', '1424']","['3', '3', '3', '3', '3', '3', '3', '4', '3', '4', '3']","['2', '2', '2', '2', '3', '2.5', '2', '2.5', '2', '3', '2']"
['9456 Cypress Ln'],['950'],"['1238', '1238', '\\""1', '1414', '1700', '1238', '1238', '1597', '1414', '1238', '1352']","['2', '2', '2', '3', '3', '2', '2', '3', '3', '2', '2']","['2', '2', '2', '2', '2', '2', '2', '2', '3', '2', '2']"
['3125 Brook Hollow Dr'],['1460'],"['1356', '1356', '\\""1', '1356', '1606', '1522', '1628', '2024', '1597', '1176', '1788', '1299', '1356', '1160', '1100', '1298', '1281', '1400', '1520']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3', '3', '0', '3', '3']","['2', '2', '2', '2', '2.5', '2', 'null', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', 'null', '2', '2']"
